file,inMB,outMB,category,reason,status
desk\01.mp4,6.47,5.51,MUTE,-,OK
desk\02.mp4,2.98,2.38,MUTE,-,OK
desk\03.mp4,4.49,4,MUTE,-,OK
desk\04.mp4,3.1,2.63,MUTE,-,OK
desk\05.mp4,4.44,3.13,MUTE,-,OK
desk\06.mp4,3.96,3.96,MUTE,-,OK
desk\07.mp4,-,-,mute,low-res-low-bitrate,SKIP
desk\08.mp4,2.26,1.86,MUTE,-,OK
desk\09.mp4,2.31,1.85,MUTE,-,OK
desk\10.mp4,3.41,3.17,MUTE,-,OK
hall\acacia_01.mp4,5.99,0.44,MUTE,-,OK
hall\acacia_02.mp4,5.23,0.49,MUTE,-,OK
hall\acacia_03.mp4,4.81,0.53,MUTE,-,OK
hall\acacia_04.mp4,4.88,0.57,MUTE,-,OK
hall\chengxing_01.mp4,5.9,0.39,MUTE,-,OK
hall\chengxing_02.mp4,10.77,0.78,MUTE,-,OK
hall\chengxing_03.mp4,5.83,0.42,MUTE,-,OK
hall\chengxing_04.mp4,5.45,0.53,MUTE,-,OK
hall\fenny_01.mp4,9.74,0.26,MUTE,-,OK
hall\fenny_02.mp4,5.24,0.27,MUTE,-,OK
hall\fenny_03.mp4,5.44,0.29,MUTE,-,OK
hall\fenny_04.mp4,4.52,0.2,MUTE,-,OK
hall\fenny_swimsuit_01.mp4,5.08,0.32,MUTE,-,OK
hall\fenny_swimsuit_02.mp4,5.02,0.45,MUTE,-,OK
hall\fenny_swimsuit_03.mp4,4.97,0.54,MUTE,-,OK
hall\fenny_swimsuit_04.mp4,5.34,0.29,MUTE,-,OK
hall\katya_01.mp4,5.36,0.52,MUTE,-,OK
hall\katya_02.mp4,5.37,0.36,MUTE,-,OK
hall\katya_03.mp4,4.74,0.75,MUTE,-,OK
hall\katya_04.mp4,4.6,0.74,MUTE,-,OK
hall\katya_wedding_01.mp4,5.55,0.43,MUTE,-,OK
hall\katya_wedding_02.mp4,4.5,0.97,MUTE,-,OK
hall\katya_wedding_03.mp4,4.14,0.38,MUTE,-,OK
hall\katya_wedding_04.mp4,4.92,0.32,MUTE,-,OK
hall\lyfe_01.mp4,4.5,0.52,MUTE,-,OK
hall\lyfe_02.mp4,5.84,0.39,MUTE,-,OK
hall\lyfe_03.mp4,4.79,0.38,MUTE,-,OK
hall\lyfe_04.mp4,4.64,0.2,MUTE,-,OK
hall\marian_01.mp4,5.58,0.4,MUTE,-,OK
hall\marian_02.mp4,4.89,0.24,MUTE,-,OK
hall\marian_03.mp4,4.74,0.26,MUTE,-,OK
hall\marian_04.mp4,3.7,0.24,MUTE,-,OK
hall\marian_wedding_01.mp4,5.63,0.37,MUTE,-,OK
hall\marian_wedding_02.mp4,5.55,0.43,MUTE,-,OK
hall\marian_wedding_03.mp4,5.55,0.44,MUTE,-,OK
hall\marian_wedding_04.mp4,4.71,0.64,MUTE,-,OK
hall\nita_01.mp4,10.58,1.33,MUTE,-,OK
hall\nita_02.mp4,4.99,0.79,MUTE,-,OK
hall\nita_03.mp4,4.87,0.64,MUTE,-,OK
hall\nita_04.mp4,4.78,0.6,MUTE,-,OK
hall\siris_01.mp4,5.26,0.44,MUTE,-,OK
hall\siris_02.mp4,4.97,1.28,MUTE,-,OK
hall\siris_03.mp4,5.95,0.42,MUTE,-,OK
