file,inKB,outKB,category,status
battle_bgm_1.mp3,4405,1745,BGM,OK
battle_bgm_2.mp3,4405,1745,BGM,OK
battle_bgm_3.mp3,8589,3729,BGM,OK
DeckBuilder_bgm.mp3,7386,3248,BGM,OK
defeat_bgm.mp3,1111,456,BGM,OK
defult_bgm.mp3,4975,2259,BGM,OK
gacha_bgm.mp3,3459,1637,BGM,OK
title_bgm.mp3,4502,1952,BGM,OK
win_bgm.mp3,1271,502,BGM,OK
与你交织的命运线.mp3,4841,2146,BGM,OK
并蒂良缘.mp3,4784,2312,BGM,OK
水色情愫.mp3,4456,1912,BGM,OK
永恒之约.mp3,4975,2259,BGM,OK
爱语恋歌.mp3,4635,1977,BGM,OK
秘林徜徉.mp3,4718,2208,BGM,OK
轻触慢挑.mp3,5171,2410,BGM,OK
battle_start.mp3,20,19,SFX,OK
click.mp3,13,13,SFX,OK
nexus_strike.mp3,20,19,SFX,OK
quick_counter.mp3,18,17,SFX,OK
quick_strike.mp3,20,20,SFX,OK
recall.mp3,14,15,SFX,OK
strike.mp3,29,18,SFX,OK
出金.mp3,32,22,SFX,OK
十连抽.mp3,46,29,SFX,OK
单抽.mp3,34,18,SFX,OK
卡牌悬停.mp3,14,14,SFX,OK
召唤.mp3,21,13,SFX,OK
我方打出单位.mp3,20,12,SFX,OK
撤回格挡或进攻.mp3,25,17,SFX,OK
敌方打出单位.mp3,24,15,SFX,OK
普通出货.mp3,39,21,SFX,OK
格挡或进攻.mp3,24,17,SFX,OK
洗牌.mp3,21,14,SFX,OK
被击败.mp3,17,11,SFX,OK
转化通用银.mp3,74,56,SFX,OK
进入备战席1.mp3,8,7,SFX,OK
进入备战席2.mp3,8,7,SFX,OK
选择单位.mp3,15,10,SFX,OK
Cinematic_heavy_weap_#1-1766821343660.mp3,119,77,SFX,OK
Heavy_body_slam_agai_#2-1766821403810.mp3,25,16,SFX,OK
Powerful_heavy_broad_#1-1766821375502.mp3,25,19,SFX,OK
Powerful_heavy_broad_#2-1766821375502.mp3,25,17,SFX,OK
Powerful_heavy_broad_#3-1766821375503.mp3,25,16,SFX,OK
Powerful_heavy_broad_#4-1766821375503.mp3,25,16,SFX,OK
Sharp_steel_sword_cl_#1-1766821373318.mp3,48,40,SFX,OK
Sharp_steel_sword_cl_#2-1766821375498.mp3,48,34,SFX,OK
Sharp_steel_sword_cl_#3-1766821375498.mp3,48,37,SFX,OK
Sharp_steel_sword_cl_#4-1766821375498.mp3,48,37,SFX,OK
strike111.mp3,13,15,SFX,OK
快攻反击111.mp3,28,28,SFX,OK
