文件,输入MB,输出MB,状态
attendants\0_02.png,0.73,0.05,OK
attendants\0_04.png,0.69,0.04,OK
attendants\0_03.png,0.71,0.05,OK
attendants\0_01.png,0.71,0.04,OK
attendants\0_08.png,0.48,0.03,OK
attendants\0_09.png,0.54,0.03,OK
attendants\0_10.png,0.61,0.04,OK
attendants\0_07.png,0.68,0.04,OK
attendants\0_06.png,0.61,0.03,OK
attendants\0_11.png,0.63,0.04,OK
attendants\0_14.png,0.56,0.03,OK
attendants\0_05.png,0.67,0.04,OK
attendants\0_15.png,0.61,0.04,OK
attendants\0_16.png,0.66,0.05,OK
attendants\0_17.png,0.53,0.03,OK
attendants\0_12.png,0.54,0.03,OK
attendants\0_13.png,0.67,0.04,OK
attendants\0_20.png,0.56,0.04,OK
attendants\0_21.png,0.61,0.04,OK
attendants\0_22.png,0.61,0.04,OK
attendants\0_23.png,0.63,0.04,OK
attendants\0_18.png,0.71,0.04,OK
attendants\0_19.png,0.67,0.04,OK
attendants\0_26.png,0.63,0.04,OK
attendants\0_27.png,0.63,0.04,OK
attendants\0_28.png,0.57,0.03,OK
attendants\0_29.png,0.56,0.04,OK
attendants\0_24.png,0.71,0.04,OK
attendants\0_25.png,0.67,0.04,OK
attendants\0_32.png,0.62,0.04,OK
attendants\0_33.png,0.53,0.03,OK
attendants\0_34.png,0.59,0.04,OK
attendants\0_35.png,0.61,0.04,OK
attendants\0_30.png,0.69,0.04,OK
attendants\0_31.png,0.74,0.04,OK
Boss\埃达1.png,4.27,0.16,OK
attendants\0_37.png,5.12,0.27,OK
attendants\0_36.png,0.74,0.05,OK
Boss\埃达2.png,4.07,0.16,OK
card_back\01.png,2.02,0.17,OK
card_back\02.png,6.92,0.30,OK
card_back\03.png,6.55,0.39,OK
card_back\04.png,7.32,0.39,OK
cardborder\cardborder_unit.png,1.98,0.37,OK
cardborder\cardborder_spell.png,2.21,0.47,OK
cardborder\cardborder_hero.png,2.18,0.43,OK
card_back\08.png,6.69,0.54,OK
card_back\05.png,7.77,0.65,OK
card_back\09.png,7.41,0.57,OK
card_back\07.png,7.64,0.59,OK
card_back\06.png,8.00,0.63,OK
card_back\11.png,5.75,0.38,OK
card_back\12.png,7.82,0.38,OK
card_back\13.png,7.33,0.33,OK
card_back\fenny.png,5.57,0.26,OK
card_back\lyfe.png,5.68,0.28,OK
card_back\mauxir_lotus_drive.png,7.98,0.32,OK
card_back\pupu_specular.png,5.43,0.24,OK
card_back\10.png,6.87,0.46,OK
desk\01.png,5.16,0.34,OK
desk\04.png,4.85,0.32,OK
desk\05.png,4.36,0.18,OK
desk\03.png,6.97,0.91,OK
desk\07.png,5.39,0.23,OK
desk\06.png,6.02,0.42,OK
desk\02.png,5.68,0.31,OK
desk\08.png,5.71,0.29,OK
desk\09.png,6.07,0.36,OK
desk\10.png,8.07,0.38,OK
effect\be_attacked.png,1.72,0.21,OK
effect\broken1.png,2.45,0.55,OK
effect\BUFF_ALL.png,4.39,1.05,OK
effect\BUFF_Keyword.png,4.45,1.05,OK
effect\break.png,6.70,2.49,OK
effect\broken2.png,10.42,2.37,OK
effect\BUFF_Life.png,4.34,0.67,OK
effect\BUFF_Power.png,4.15,0.67,OK
enemy\Gemini_Generated_Image_4996xr4996xr4996.png,7.90,0.31,OK
enemy\Gemini_Generated_Image_5cy6n75cy6n75cy6.png,7.73,0.23,OK
effect\mauxir_lotus_rush_attack.png,2.03,0.41,OK
enemy\Gemini_Generated_Image_83ofc683ofc683of.png,7.90,0.33,OK
enemy\Gemini_Generated_Image_9t2f2o9t2f2o9t2f.png,8.17,0.36,OK
enemy\Gemini_Generated_Image_aguiljaguiljagui.png,7.49,0.23,OK
enemy\Gemini_Generated_Image_ajjoh8ajjoh8ajjo.png,7.65,0.28,OK
enemy\Gemini_Generated_Image_akbwo0akbwo0akbw.png,7.78,0.28,OK
enemy\Gemini_Generated_Image_aq4vf3aq4vf3aq4v.png,7.61,0.28,OK
enemy\Gemini_Generated_Image_byi0l3byi0l3byi0.png,8.54,0.37,OK
enemy\Gemini_Generated_Image_ck2uuack2uuack2u.png,8.23,0.34,OK
enemy\Gemini_Generated_Image_dankqxdankqxdank.png,7.28,0.25,OK
enemy\Gemini_Generated_Image_gzep33gzep33gzep.png,7.87,0.28,OK
enemy\Gemini_Generated_Image_h40pp5h40pp5h40p.png,7.65,0.28,OK
enemy\Gemini_Generated_Image_jmj3s7jmj3s7jmj3.png,5.69,0.23,OK
enemy\Gemini_Generated_Image_jr9fdtjr9fdtjr9f.png,8.09,0.39,OK
enemy\Gemini_Generated_Image_m9v4o0m9v4o0m9v4.png,7.94,0.28,OK
enemy\Gemini_Generated_Image_n6d63in6d63in6d6.png,7.58,0.29,OK
enemy\Gemini_Generated_Image_nfszsxnfszsxnfsz.png,7.50,0.25,OK
enemy\Gemini_Generated_Image_owgjsrowgjsrowgj.png,7.95,0.34,OK
